,City,CO,NO2,O3,SO2,PM2.5,PM10
99,Santa Rosa,230.31,2.61,80.11,0.51,4.09,8.4
100,Pleasanton,273.71,17.14,60.8,2.35,6.19,14.64
101,Frisco,367.17,31.19,5.19,0.1,5.27,8.04
102,Tulsa,297.07,13.88,35.76,0.94,4.0,4.67
103,Plano,323.77,20.74,21.1,0.13,4.32,6.37
104,Kenosha,297.07,20.05,7.96,0.05,3.67,5.76
105,Missouri City,310.42,15.77,38.27,1.12,7.94,10.48
106,Hammond,514.03,47.3,0.15,1.42,8.18,18.32
107,Dayton,216.96,2.74,62.23,0.54,1.38,1.8
108,New Britain,180.24,0.01,3.89,18.84,26.79,26.85
109,Bayamón,168.56,0.61,16.09,0.33,4.1,5.65
110,Vancouver,300.41,17.48,9.12,2.18,3.98,11.94
111,South Gate,667.57,74.03,0.11,4.47,19.43,30.2
112,Lakewood,260.35,16.79,31.47,0.37,3.29,6.05
113,Coral Springs,220.3,2.04,73.67,0.18,5.27,7.67
114,Ontario,660.9,74.03,38.62,7.21,41.66,50.39
115,Concord,216.96,2.19,49.35,0.41,1.2,1.51
116,Franklin,230.31,4.58,54.36,0.69,2.97,3.29
117,Woodbury,243.66,7.03,60.08,2.77,3.31,4.32
118,Poinciana,220.3,4.11,70.81,0.66,3.09,7.42
119,Carmichael,363.83,1.06,19.67,0.77,1.08,2.26
120,Schaumburg,313.76,17.82,24.68,0.2,3.85,5.85
121,Davie,216.96,1.67,78.68,0.2,5.23,7.64
122,Fullerton,1321.79,112.41,0.0,9.18,39.04,57.91
123,Casas Adobes,253.68,8.14,48.64,0.45,6.76,15.27
124,Layton,363.83,45.93,31.11,1.57,28.82,33.02
125,Santa Barbara,208.62,1.67,57.94,0.08,5.66,6.16
126,East Los Angeles,807.76,79.51,0.0,4.11,21.51,37.61
127,Lynwood,667.57,74.03,0.11,4.47,19.43,30.2
128,Amarillo,200.27,2.59,72.96,0.83,5.02,9.32
129,Abilene,230.31,4.84,60.8,0.43,3.84,5.76
130,Worcester,273.71,9.94,35.41,0.97,3.57,4.41
131,Greeley,205.28,6.0,52.93,0.95,3.45,8.03
132,Sioux City,213.62,1.89,60.8,0.34,2.17,3.1
133,Buffalo,317.1,15.08,20.21,2.09,8.66,9.27
134,Berkeley,230.31,4.63,77.25,1.57,3.9,10.32
135,Chicago,614.17,51.41,0.0,1.54,13.64,20.32
136,Hesperia,383.85,12.34,113.01,3.64,36.44,44.42
137,Thousand Oaks,487.33,43.87,32.9,1.62,16.97,23.49
138,Lafayette,310.42,4.07,123.02,3.31,22.25,23.44
139,Delray Beach,226.97,2.42,75.1,0.25,5.23,7.45
140,Miami Gardens,216.96,1.34,82.97,0.26,5.15,7.6
141,Elizabeth,453.95,56.21,0.5,6.38,8.59,11.41
142,Riverview,213.62,1.07,52.21,0.13,1.21,2.19
143,Medford,250.34,7.8,52.93,1.46,3.99,4.6
144,Alhambra,807.76,79.51,0.0,4.11,21.51,37.61
145,Riverside,988.01,113.79,0.0,10.01,39.86,55.44
146,Whittier,1522.06,128.87,0.0,9.06,44.84,63.09
147,Athens-Clarke County unified government,223.64,1.41,73.67,1.33,2.25,3.03
148,Deltona,210.29,1.54,77.25,0.68,5.06,10.4
149,Cary,260.35,3.86,30.4,0.65,3.86,4.31
