,City,CO,NO2,O3,SO2,PM2.5,PM10
430,Cicero,614.17,51.41,0.0,1.54,13.64,20.32
431,El Paso,1028.06,51.41,4.65,6.2,23.44,51.97
432,Lee's Summit,247.0,8.91,51.5,0.88,3.11,3.91
433,Maple Grove,230.31,3.0,64.37,3.19,2.77,3.55
434,Cambridge,236.99,18.68,7.42,3.46,5.33,5.93
435,Akron,303.75,18.34,15.91,3.31,5.35,5.9
436,Des Moines,223.64,3.81,67.23,1.49,3.26,4.47
437,Gary,761.03,76.08,0.0,6.14,15.29,25.47
438,Plymouth,191.93,12.0,7.6,1.88,5.3,7.6
439,Clarksville,236.99,6.6,43.27,0.17,2.78,3.27
440,Beaverton,270.37,10.63,21.99,0.71,5.92,7.24
441,Fort Wayne,220.3,3.3,52.93,0.37,1.52,1.92
442,Little Rock,293.73,17.65,5.72,0.36,5.84,8.47
443,Mission,293.73,12.17,63.66,5.19,9.72,12.16
444,Bellflower,1522.06,128.87,0.0,9.06,44.84,63.09
445,Virginia Beach,263.69,6.26,65.09,1.43,7.05,7.5
446,Washington,270.37,7.11,27.9,1.68,6.63,6.87
447,Saint Paul,240.33,6.17,61.51,3.19,3.17,4.17
448,Raleigh,260.35,3.86,30.4,0.65,3.86,4.31
449,Hoover,233.65,3.68,59.37,0.65,4.13,4.71
450,Beaumont,287.06,7.03,54.36,1.65,15.77,17.32
451,Muncie,230.31,5.14,51.5,0.39,3.19,3.73
452,Boca Raton,223.64,3.04,77.96,0.26,5.31,7.73
453,Johns Creek,226.97,2.27,61.51,0.57,2.99,4.0
454,Hillsboro,270.37,10.63,21.99,0.71,5.92,7.24
455,North Las Vegas,201.94,3.0,84.4,0.35,7.56,23.87
456,Eagan,240.33,6.17,61.51,3.19,3.17,4.17
457,Goodyear,243.66,7.88,52.93,0.2,6.59,15.38
458,Lansing,211.95,1.97,55.08,0.21,0.55,0.66
459,Redondo Beach,667.57,74.03,0.11,4.47,19.43,30.2
460,Apple Valley,233.65,3.47,65.09,1.3,2.87,3.88
461,Spokane,363.83,17.14,15.38,0.2,10.55,13.7
462,Skokie,514.03,43.87,0.03,0.52,11.41,16.55
463,The Woodlands,290.39,12.85,2.55,0.08,7.21,10.23
464,Winston-Salem,250.34,3.51,43.27,1.58,1.65,1.8
465,Palmdale,307.08,20.39,33.26,0.46,6.45,12.84
466,Champaign,267.03,10.71,40.05,0.6,3.49,3.99
467,Round Rock,293.73,11.31,35.76,0.33,6.35,9.41
468,Yuba City,253.68,5.57,84.4,0.46,10.16,12.37
469,Gresham,460.63,29.47,0.05,2.15,13.69,17.3
470,Schenectady,250.34,6.6,31.11,0.31,1.62,1.93
471,Fort Lauderdale,226.97,4.28,77.25,0.75,5.47,7.93
472,Topeka,220.3,4.67,47.92,0.24,2.89,3.79
473,Fall River,236.99,2.79,63.66,1.21,2.78,3.04
474,Rancho Cucamonga,654.22,63.06,76.53,12.4,60.87,71.21
475,Wichita,230.31,6.94,48.64,0.18,3.04,4.1
476,McAllen,293.73,12.17,63.66,5.19,9.72,12.16
477,Everett,267.03,6.6,60.08,2.12,3.28,4.5
478,Brockton,250.34,5.57,55.08,0.79,3.64,4.14
479,Roseville,300.41,15.94,64.37,2.3,8.12,11.83
480,Arvada,277.04,15.42,30.76,0.49,4.89,6.98
481,Scottsdale,547.41,56.89,37.55,3.7,18.39,28.97
482,Mesquite,337.12,26.73,10.28,0.42,5.09,7.9
483,Clifton,333.79,21.59,10.19,1.45,4.83,6.52
484,Norwalk,247.0,6.6,42.56,0.47,2.17,2.61
485,Rapid City,185.25,2.1,51.5,0.03,1.87,4.54
486,Ames,233.65,2.96,47.21,1.0,1.89,2.75
487,Bridgeport,243.66,7.71,54.36,0.63,2.38,2.88
488,Silver Spring,270.37,7.11,27.9,1.68,6.63,6.87
489,German,193.6,0.41,82.97,3.49,16.29,52.13
490,Joliet,367.17,25.71,0.48,0.45,5.59,10.97
491,Spring Hill,223.64,3.81,67.23,1.49,3.26,4.47
492,Elk Grove,277.04,12.51,64.37,2.06,6.19,10.51
493,Rialto,640.87,57.58,73.67,9.42,51.9,58.85
494,Orlando,210.29,2.57,76.53,0.65,3.95,9.41
495,Longview,247.0,8.23,18.06,0.35,8.01,12.53
496,Palm Coast,213.62,1.41,80.11,0.76,6.33,10.71
497,Reading,223.64,4.84,47.21,2.35,2.72,3.91
498,Daly City,216.96,0.77,85.83,0.63,3.55,9.63
499,Chattanooga,213.62,4.2,44.35,0.26,2.42,3.15
500,Chico,347.14,4.2,140.19,1.45,31.88,35.22
501,Temple,267.03,8.48,60.08,0.79,7.8,9.1
502,Nashville,247.0,8.48,54.36,0.43,2.63,3.28
503,Garden Grove,574.11,84.31,17.52,8.11,15.76,25.0
504,Cape Coral,203.61,0.66,81.54,0.22,2.13,5.32
505,Bakersfield,273.71,8.31,57.22,0.3,9.32,11.42
506,Gilbert,674.25,80.2,26.11,6.02,21.97,31.73
507,Kirkland,313.76,16.62,33.26,2.62,6.6,8.92
508,Murrieta,343.8,25.36,50.78,6.8,12.8,20.17
509,South Jordan,1108.17,128.87,0.02,4.47,57.34,65.7
510,New Bedford,236.99,1.93,65.09,0.5,2.69,2.9
511,Spring Valley,310.42,15.77,38.27,1.12,7.94,10.48
512,Pasco,403.88,22.96,9.48,0.45,9.38,13.43
513,Waterloo,247.0,4.71,60.8,0.59,4.53,5.13
514,Irvine,574.11,84.31,17.52,8.11,15.76,25.0
515,Sioux Falls,211.95,1.99,65.09,1.06,2.22,2.69
516,Saint Charles,290.39,13.02,30.04,0.41,5.04,5.95
517,Waterbury,243.66,5.57,45.42,0.57,2.47,2.8
518,Tustin,574.11,84.31,17.52,8.11,15.76,25.0
519,Oxnard,330.45,25.02,39.7,1.01,11.55,16.19
520,Tyler,243.66,7.11,20.39,0.14,6.04,9.02
521,Inglewood,667.57,74.03,0.11,4.47,19.43,30.2
522,Pawtucket,240.33,4.71,55.08,1.15,3.31,3.79
523,West Palm Beach,220.3,1.27,81.54,0.21,5.01,7.25
524,Anaheim,1321.79,112.41,0.0,9.18,39.04,57.91
525,Charlotte,247.0,3.34,36.48,0.41,0.97,1.3
526,Vacaville,233.65,4.63,71.53,0.28,5.29,9.83
527,Sandy,1108.17,128.87,0.02,4.47,57.34,65.7
528,Pittsburg,300.41,11.65,13.95,0.8,4.96,5.35
529,Fremont,257.02,12.34,69.38,2.03,5.92,13.52
530,Danbury,240.33,6.08,42.2,0.44,2.0,2.44
531,Sugar Land,270.37,9.08,40.05,0.54,7.04,9.31
532,League City,283.72,9.34,58.65,1.94,9.41,11.34
533,South San Francisco,216.96,0.77,85.83,0.63,3.55,9.63
534,Mayagüez,247.0,0.54,10.19,0.25,0.81,0.94
535,Provo,594.14,80.88,2.95,3.22,23.84,30.07
536,Aurora,380.52,34.62,1.48,0.34,5.6,8.83
537,Hawthorne,667.57,74.03,0.11,4.47,19.43,30.2
538,Albany,270.37,8.74,18.06,0.41,1.88,2.29
539,Kissimmee,206.95,1.41,75.82,0.29,3.73,9.32
540,Westland,210.29,2.1,42.56,0.23,0.5,0.6
541,Menifee,534.06,45.24,69.38,7.57,30.21,37.07
542,Fishers,250.34,8.23,40.05,0.28,3.8,4.55
543,Santa Ana,574.11,84.31,17.52,8.11,15.76,25.0
544,Miami Beach,236.99,6.86,72.96,1.36,5.44,7.99
545,Jackson,287.06,14.74,17.17,0.38,7.06,8.52
546,Flagstaff,183.58,2.23,65.09,0.11,4.06,5.91
547,Jurupa Valley,988.01,113.79,0.0,10.01,39.86,55.44
548,Oklahoma City,290.39,14.05,53.64,0.53,4.96,6.07
549,Saint Joseph,226.97,1.54,85.12,0.73,1.89,2.09
550,Warren,216.96,3.68,34.69,0.44,0.76,1.01
551,Johnson City,236.99,3.26,40.41,0.63,2.35,2.44
552,Dothan,233.65,1.91,68.67,0.89,6.07,7.18
553,Upland,660.9,74.03,38.62,7.21,41.66,50.39
554,San Bernardino,640.87,57.58,73.67,9.42,51.9,58.85
555,Loveland,236.99,10.11,31.11,0.2,3.58,5.06
556,Anchorage,257.02,0.31,57.94,0.01,0.5,0.76
557,New Braunfels,337.12,17.82,38.98,1.13,6.48,8.1
558,Seattle,273.71,8.57,58.65,1.7,3.84,5.61
559,Bellingham,340.46,22.28,10.37,2.5,4.76,7.1
560,Plantation,216.96,1.67,78.68,0.2,5.23,7.64
561,Dale City,263.69,6.6,28.25,1.86,4.97,5.28
